group,x,bin,isknot,mid,fit,cohort
ARG,4.666666666666666,1,0,0,30.534865141806154,1950s
ARG,4.999999999999999,1,0,0,30.772897190835998,1950s
ARG,5.333333333333332,1,0,0,31.010929239865845,1950s
ARG,5.666666666666665,1,0,0,31.248961288895693,1950s
ARG,5.999999999999998,1,0,0,31.486993337925536,1950s
ARG,6.333333333333331,1,0,0,31.725025386955384,1950s
ARG,6.666666666666664,1,0,0,31.963057435985228,1950s
ARG,6.999999999999997,1,0,0,32.201089485015075,1950s
ARG,7.33333333333333,1,0,0,32.43912153404492,1950s
ARG,7.666666666666663,1,0,0,32.67715358307477,1950s
ARG,7.9999999999999964,1,1,0,32.91518563210461,1950s
ARG,8.33333333333333,2,0,0,33.15321768113446,1950s
ARG,8.666666666666664,2,0,0,33.391249730164304,1950s
ARG,8.999999999999998,2,0,0,33.62928177919415,1950s
ARG,9.333333333333332,2,0,0,33.867313828224,1950s
ARG,9.666666666666666,2,0,0,34.105345877253846,1950s
ARG,10,2,0,0,34.343377926283694,1950s
ARG,10.333333333333334,2,0,0,34.58140997531354,1950s
ARG,10.666666666666668,2,0,0,34.81944202434339,1950s
ARG,11.000000000000002,2,0,0,35.05747407337323,1950s
ARG,11.333333333333336,2,0,1,35.295506122403076,1950s
ARG,11.66666666666667,2,0,0,35.53353817143292,1950s
ARG,12.000000000000004,2,0,0,35.77157022046277,1950s
ARG,12.333333333333337,2,0,0,36.00960226949262,1950s
ARG,12.666666666666671,2,0,0,36.247634318522465,1950s
ARG,13.000000000000005,2,0,0,36.48566636755231,1950s
ARG,13.33333333333334,2,0,0,36.72369841658215,1950s
ARG,13.666666666666673,2,0,0,36.96173046561201,1950s
ARG,14.000000000000007,2,0,0,37.19976251464185,1950s
ARG,14.333333333333341,2,0,0,37.437794563671694,1950s
ARG,14.666666666666675,2,0,0,37.67582661270154,1950s
ARG,15.000000000000009,2,1,0,37.91385866173139,1950s
ARG,15.333333333333343,3,0,0,38.151890710761236,1950s
ARG,15.666666666666677,3,0,0,38.389922759791084,1950s
ARG,16.00000000000001,3,0,0,38.62795480882093,1950s
ARG,16.333333333333343,3,0,0,38.86598685785077,1950s
ARG,16.666666666666675,3,0,0,39.10401890688062,1950s
ARG,17.000000000000007,3,0,0,39.342050955910466,1950s
ARG,17.33333333333334,3,0,0,39.580083004940306,1950s
ARG,17.66666666666667,3,0,0,39.81811505397015,1950s
ARG,18.000000000000004,3,0,0,40.056147103,1950s
ARG,18.333333333333336,3,0,1,40.29417915202984,1950s
ARG,18.666666666666668,3,0,0,40.53221120105969,1950s
ARG,19,3,0,0,40.770243250089536,1950s
ARG,19.333333333333332,3,0,0,41.008275299119376,1950s
ARG,19.666666666666664,3,0,0,41.24630734814922,1950s
ARG,19.999999999999996,3,0,0,41.48433939717907,1950s
ARG,20.33333333333333,3,0,0,41.72237144620892,1950s
ARG,20.66666666666666,3,0,0,41.960403495238765,1950s
ARG,20.999999999999993,3,0,0,42.198435544268605,1950s
ARG,21.333333333333325,3,0,0,42.43646759329845,1950s
ARG,21.666666666666657,3,0,0,42.6744996423283,1950s
ARG,21.99999999999999,3,1,0,42.91253169135814,1950s
ARG,22.33333333333332,4,0,0,43.15056374038799,1950s
ARG,22.666666666666654,4,0,0,43.388595789417835,1950s
ARG,22.999999999999986,4,0,0,43.626627838447675,1950s
ARG,23.333333333333318,4,0,0,43.86465988747752,1950s
ARG,23.66666666666665,4,0,0,44.10269193650737,1950s
ARG,23.999999999999982,4,0,0,44.34072398553721,1950s
ARG,24.333333333333314,4,0,0,44.57875603456706,1950s
ARG,24.666666666666647,4,0,0,44.816788083596904,1950s
ARG,24.99999999999998,4,0,0,45.054820132626745,1950s
ARG,25.33333333333331,4,0,1,45.2928521816566,1950s
ARG,25.666666666666643,4,0,0,45.53088423068644,1950s
